ID_EMPRESA,EMPRESA,ORIGEN,LOCALIDAD,PRIORIDAD,ESTADO_PIPELINE,CONTACTADO,RESPUESTA,LICITA,TIPO_SERVICIO,PROVEEDOR_ACTUAL,FECHA_ULT_CONTACTO,FECHA_VOLVER_CONTACTAR,MAIL_GENERAL,TELEFONO_CEL,CONTACTO_HISTORICO,TAMANO_ESTIMADO,ALERTA,COMENTARIOS_PROPIOS,OBSERVACIONES_RELEVAMIENTO,N_CONTACTOS
EMP-0001,Zapata Hnos. S.A.,Hoja 1,Ramallo / COMIRSA,,,,,,,,,,oficinatecnica@zapatahnossa.com.ar,,,,,,Web rota; canal: oficinatecnica@zapatahnossa.com.ar,0
EMP-0002,YPF,Hoja 1,San Lorenzo,,,,,,,,,,TerminalSanLorenzo@ypf.com,,,,,,Compras YPF centralizada; canal: TerminalSanLorenzo@ypf.com,0
EMP-0003,YO AMO MI CIUDAD,Hoja 1,San Lorenzo,,,,,,,,,,yoamomiciudad.sanlorenzo@gmail.com,,,,,,Canal: Facebook yoamomiciudad.sanlorenzo + gmail,0
EMP-0004,YGS CAPACITACIÓN Y CONSULTORÍA,Hoja 1,Capitán Bermúdez,,,,,,,,,,info@ygs-group.com.ar,,,,,,info@ygs-group.com.ar; página LinkedIn ~5K seguidores,0
EMP-0005,WILLIAMS ENTREGAS S.A.,Hoja 1,San Lorenzo,,,,,,,,,,rrhh@williamsagroservicios.com.ar,,,,,,,3
EMP-0006,WERK PIÑEIRO,Hoja 1,,1,,NO,,,,,,,,,,,,,"Constructora rosarina (desde 1970, obra pública y edificios). 'PIÑEIRO' prob. refiere a obra en Piñero (a validar). info@werk.com.ar / 0341 441-0078; ",0
EMP-0007,WATCHMAN,Hoja 1,Rosario,,,,,,,,,,avalero@watchman.com.ar,,,,,,,1
EMP-0008,Vipal Cauchos,Hoja 1,Pérez,,,,,,,,,,vipal@vipal.com.ar,,,,,,Solo perfiles Brasil; vipal@vipal.com.ar; FB Vipal Argentina Pérez,0
EMP-0009,VENTILAR S.A.,Hoja 1,San Lorenzo,,,,,,,,,,ventilarsa@ventilarsa.com.ar,,,,,,ventilar@ventilar.com; tel 341 7301000,0
EMP-0010,VENETUCCI,Hoja 1,San Lorenzo,,,,,,,,,,info@venetucci.net,,,,,,,2
EMP-0011,VARTECO QUÍMICA PUNTANA,Hoja 1,San Lorenzo,,,,,,,,,,gcanavesio@varteco.com.ar,,,,,,Canal: gcanavesio@varteco.com.ar (tu dato) + varteco@varteco.com.ar,0
EMP-0012,UNITEC BIO,Hoja 1,Puerto General San Martín,,,,,,,,,,info@unitecbio.com,,,,,,,2
EMP-0013,UNIDADES MÓVILES SAN LORENZO S.R.L.,Hoja 1,San Lorenzo,,,,,,,,,,,,,,,,info@umsl.com.ar; 341 3242764; módulos habitacionales,0
EMP-0014,Transelec,Hoja 1,Pérez,,,,,,,,,,mkarle@transelec.com.ar,,,,,,mkarle@transelec.com.ar (inicial sugiere Karle); distribuidora eléctrica,0
EMP-0015,TRANEF,Hoja 1,San Lorenzo,,,,,,,,,,info@tranef.com.ar,,,,,,info@tranef.com.ar; (03476) 427-555; transporte de combustibles,0
EMP-0016,TORK,Hoja 1,San Lorenzo,,,,,,,,,,administracion@torksa.com,,,,,,administracion@torksa.com; 03476-426026; estructuras metálicas y tercerización de personal (buen fit viandas),0
EMP-0017,TIGUAN S.A.,Hoja 1,Rosario,,,,,,,,,,tecnica@tiguan.com.ar,,,,,,,1
EMP-0018,Testatec,Hoja 1,Ramallo / COMIRSA,,,,,,,,,,info@testatec.com.ar,,,,,,info@testatec.com.ar,0
EMP-0019,TERSUAVE,Hoja 1,,3,,NO,,si,,,,,,3415627117,eugenia,,,,No apareció ninguna 'Eugenia' de Tersuave indexada; mantener tu contacto (cel 3415627117). Estructura visible: planta Córdoba + logística Moreno (BA),3
EMP-0020,Ternium — Centro Industrial San Nicolás,Hoja 1,San Nicolás,,,,,,,,,,,,,,,,,3
EMP-0021,Ternium — Centro Industrial Rosario,Hoja 1,Rosario,,,,,,,,,,,,,,,,,1
EMP-0022,TERMINALES Y SERVICIOS,Hoja 1,Timbúes,,,,,,,,,,postulaciones@terminalesyservicios.com.ar,,,,,,,1
EMP-0023,Terminal Puerto Rosario (TPR),Hoja 1,Rosario,,,,,,,,,,info@tpr.com.ar,,,,,,,3
EMP-0024,TERMINAL 6,Hoja 1,Puerto General San Martín,,,,,,,,,,term6@terminal6.com.ar,,,~271,,,term6@terminal6.com.ar; LinkedIn company Terminal 6 (3.680 seg.),2
EMP-0025,TENSAR,Hoja 1,,2,,NO,,,,,,,,,,,NO IDENTIFICADA — falta CUIT/dirección,,"Solo aparece Tensar Corporation (geomallas, EE.UU.). Pasame CUIT o dirección de tu base y la vuelvo a buscar",0
EMP-0026,TECNUAR S.R.L.,Hoja 1,San Lorenzo,,,,,,,,,,,,,,,,Pista socios: BO Santa Fe 04-05-2009,0
EMP-0027,TAKAY KAIPI S.A.,Hoja 1,San Lorenzo,,,,,,,,,,,,,,,,,1
EMP-0028,TAGMAS Publicidad,Hoja 1,Rosario,,,,,,,,,,scatini@tagmas.com,,,,,,,1
EMP-0029,SYLOPER,Hoja 1,Rosario,,,,,,,,,,info@syloper.com,,,,,,,1
EMP-0030,SUX SOLAR,Hoja 1,Funes,,,,,,,,,,comercial@suxsolar.com.ar,,,,,,,1
EMP-0031,styropek,Hoja 1,,1,,NO,,,,,,,,3413680150,silvina,,,,,3
EMP-0032,STC INVERSIONES,Hoja 1,Rosario,,,,,,,,,,info@stcinversiones.com.ar,,,,,,,1
EMP-0033,Sport 78 · Digital Sport,Hoja 1,Pérez,,,,,,,,,,,,,,,,LinkedIn company sport78; reviews mencionan trato directo con el dueño (sin nombre),0
EMP-0034,SOLMEC,Hoja 1,Puerto General San Martín,,,,,,,,,,admin@solmecsa.com.ar,,,,,,admin@solmecsa.com.ar; WA 341-6659303; clientes = plantas del polo,0
EMP-0035,SOLAMB,Hoja 1,San Lorenzo,,,,,,,,,,rrhh@solamb.com.ar,,,,,,,1
EMP-0036,SOL INGENIERÍA S.R.L.,Hoja 1,San Lorenzo,,,,,,,,,,sol@solingenieria.com.ar,,,,,,Muy chica; sol@solingenieria.com.ar,0
EMP-0037,SOIME,Hoja 1,Fray Luis Beltrán,,,,,,,,,,info@soime.com.ar,,,,,,Mail directo persona: lcamazon@soime.com.ar; WA 3476-595493; tel (0341) 4918600,0
EMP-0038,SMP SEGURIDAD,Hoja 1,Rosario,,,,,,,,,,fduringer@smpargentina.com,,,,VERIFICAR: dominio = distribuidora EPP,,,1
EMP-0039,SL LOGISTICS S.A.,Hoja 1,San Lorenzo,,,,,,,,,,,,,,,,Sin web ni LinkedIn identificables,0
EMP-0040,SKF,Hoja 1,,1,EN CONVERSACION,SI,SI,,VIANDAS,MARTA CURA,,,,3415502588,ACUÑA HECTOR,,,VIANDAS AL VACIO Y VEHICULO REFRIGERADO,,0
EMP-0041,SISGRA,Hoja 1,Rosario,,,,,,,,,,sisgra@sisgra.com.ar,,,,,,,1
EMP-0042,SIRIUS CONSULTORES,Hoja 1,San Lorenzo,,,,,,,,,,njbelfiore@yahoo.com.ar,,,,,,,1
EMP-0043,Sipar,Hoja 1,,2,,NO,,,,,,,,,,,,,,4
EMP-0044,SINERGIA SERVICIOS,Hoja 1,San Lorenzo,,,,,,,,,,info@sinergiaservicios.com.ar,,,,,,info@sinergiaservicios.com.ar; LinkedIn company,0
